Time,Price
0.0000,100.0000
0.0040,101.5388
0.0079,101.5419
0.0119,99.8098
0.0159,100.6280
0.0198,101.7610
0.0238,100.9164
0.0278,102.4177
0.0317,102.9974
0.0357,105.2403
0.0397,106.3282
0.0437,104.0834
0.0476,105.2991
0.0516,106.3101
0.0556,106.2027
0.0595,105.3159
0.0635,104.0388
0.0675,103.8181
0.0714,101.6663
0.0754,100.9462
0.0794,99.6876
0.0833,102.6409
0.0873,103.0782
0.0913,104.4777
0.0952,102.2665
0.0992,100.5279
0.1032,100.7241
0.1071,100.6007
0.1111,97.3176
0.1151,96.4171
0.1190,97.8847
0.1230,96.6342
0.1270,96.0969
0.1310,96.7173
0.1349,97.2242
0.1389,94.9902
0.1429,93.0225
0.1468,92.3994
0.1508,93.6023
0.1548,93.2900
0.1587,93.0754
0.1627,92.8367
0.1667,94.8091
0.1706,93.6499
0.1746,92.6319
0.1786,93.0347
0.1825,91.7887
0.1865,92.0632
0.1905,90.7657
0.1944,91.2027
0.1984,90.9945
0.2024,90.9407
0.2063,91.6949
0.2103,89.3618
0.2143,87.4980
0.2183,86.8716
0.2222,87.4953
0.2262,87.2602
0.2302,86.7298
0.2341,86.9325
0.2381,85.0786
0.2421,85.0585
0.2460,84.3224
0.2500,84.2074
0.2540,85.1244
0.2579,85.1107
0.2619,84.6789
0.2659,85.8163
0.2698,86.4089
0.2738,85.4174
0.2778,85.3782
0.2817,84.8710
0.2857,84.4242
0.2897,83.1761
0.2937,82.2400
0.2976,81.7483
0.3016,79.8916
0.3056,78.7036
0.3095,78.1741
0.3135,78.9074
0.3175,80.1374
0.3214,80.1487
0.3254,80.8481
0.3294,80.8664
0.3333,80.9866
0.3373,79.5382
0.3413,78.7313
0.3452,77.4469
0.3492,76.2138
0.3532,76.4306
0.3571,76.9259
0.3611,75.9101
0.3651,75.1279
0.3690,75.4375
0.3730,76.3131
0.3770,77.2481
0.3810,77.2580
0.3849,77.9418
0.3889,78.3207
0.3929,78.9193
0.3968,77.7171
0.4008,77.1287
0.4048,76.8851
0.4087,77.0563
0.4127,77.9890
0.4167,77.5986
0.4206,78.4618
0.4246,77.4103
0.4286,77.2757
0.4325,77.9473
0.4365,77.9133
0.4405,76.7190
0.4444,76.6350
0.4484,76.3266
0.4524,77.3488
0.4563,77.9958
0.4603,79.9303
0.4643,79.3136
0.4683,78.4998
0.4722,76.9048
0.4762,77.5805
0.4802,78.7849
0.4841,79.1456
0.4881,80.5270
0.4921,81.9081
0.4960,80.3474
0.5000,78.9299
0.5040,78.6971
0.5079,79.0197
0.5119,78.7894
0.5159,79.1257
0.5198,78.5726
0.5238,78.7649
0.5278,78.3008
0.5317,78.9089
0.5357,78.6181
0.5397,76.8683
0.5437,76.9489
0.5476,77.0732
0.5516,75.5786
0.5556,76.0202
0.5595,74.9600
0.5635,76.4025
0.5675,76.0166
0.5714,76.0440
0.5754,76.5233
0.5794,76.6902
0.5833,76.8685
0.5873,77.2676
0.5913,78.9653
0.5952,79.3957
0.5992,80.3694
0.6032,79.6588
0.6071,77.4863
0.6111,76.8737
0.6151,77.5332
0.6190,77.4279
0.6230,78.0368
0.6270,77.4658
0.6310,78.2015
0.6349,76.2588
0.6389,77.4772
0.6429,77.4719
0.6468,78.7702
0.6508,81.0801
0.6548,81.2590
0.6587,81.4224
0.6627,81.6755
0.6667,82.2954
0.6706,81.9922
0.6746,80.8940
0.6786,79.8008
0.6825,81.3239
0.6865,82.0344
0.6905,82.3478
0.6944,82.9222
0.6984,82.8364
0.7024,84.5299
0.7063,84.5812
0.7103,85.7510
0.7143,87.4374
0.7183,88.1127
0.7222,89.6625
0.7262,91.9964
0.7302,91.6270
0.7341,91.6561
0.7381,91.3939
0.7421,90.7105
0.7460,90.7805
0.7500,89.8799
0.7540,89.6540
0.7579,90.2601
0.7619,91.0095
0.7659,90.3874
0.7698,90.1952
0.7738,90.2783
0.7778,90.7981
0.7817,92.3818
0.7857,94.6079
0.7897,93.9177
0.7937,93.1445
0.7976,92.2550
0.8016,91.7325
0.8056,91.7027
0.8095,91.4968
0.8135,88.8937
0.8175,88.9861
0.8214,88.6239
0.8254,88.1075
0.8294,87.3417
0.8333,86.2841
0.8373,85.2332
0.8413,83.2271
0.8452,80.1408
0.8492,80.5197
0.8532,80.7191
0.8571,81.5958
0.8611,81.5402
0.8651,81.5700
0.8690,81.1209
0.8730,80.1525
0.8770,81.6996
0.8810,82.2907
0.8849,82.2002
0.8889,82.1390
0.8929,83.0790
0.8968,83.9685
0.9008,83.7025
0.9048,84.3344
0.9087,83.8325
0.9127,84.9659
0.9167,84.7019
0.9206,83.5502
0.9246,84.7588
0.9286,84.7269
0.9325,84.8910
0.9365,84.9446
0.9405,85.9751
0.9444,86.0254
0.9484,85.7158
0.9524,86.4952
0.9563,87.2558
0.9603,87.2515
0.9643,87.0285
0.9683,85.5943
0.9722,87.0464
0.9762,87.0378
0.9802,88.2219
0.9841,89.6089
0.9881,91.3581
0.9921,91.2589
0.9960,92.1725
1.0000,93.3913
